ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-17,-6.686479335442271,-7.219091296871429,-7.219091058455254,-6.686479460278027,-6.686479221862565,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,0.0,0.0,0.0,-7.219091172031082
2025-11-18,-7.027317321373959,-7.012790150356726,-7.012789895362883,-7.027317455340358,-7.027317200332219,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.0,0.0,0.0,-7.012790016401818
2025-11-19,-7.3681553073056465,-7.011853167140822,-7.011852891955237,-7.3681554529866515,-7.368155177800353,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.0,0.0,0.0,-7.011853021464784
2025-11-20,-7.708993293237334,-7.2483327424086506,-7.248332448198727,-7.7089934497498165,-7.7089931555399005,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.0,0.0,0.0,-7.248332585896406
2025-11-21,-8.049831279169021,-7.742221061222883,-7.7422207454855,-8.049831449169188,-8.049831133425391,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.0,0.0,0.0,-7.742220891217593
2025-11-22,-8.39066926510071,-8.238768327372602,-8.238767989221339,-8.39066944711802,-8.390669108961745,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.0,0.0,0.0,-8.238768145358726
2025-11-23,-8.731507251032399,-9.489897416471566,-9.489897054039874,-8.731507447214474,-8.731507084784022,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,0.0,0.0,0.0,-9.489897220289485
2025-11-24,-9.072345236964086,-9.604957283508416,-9.60495689284883,-9.072345446923174,-9.07234505626092,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,0.0,0.0,0.0,-9.604957073554719
2025-11-25,-9.413183222895777,-9.398656139551965,-9.398655724415988,-9.413183444522035,-9.41318302939134,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.0,0.0,0.0,-9.398655917923854
2025-11-26,-9.754021208827464,-9.397719155996532,-9.39771871759712,-9.754021441823566,-9.754021003437344,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.0,0.0,0.0,-9.39771892298675
2025-11-27,-10.094859194759152,-9.634198731969642,-9.634198271441537,-10.094859439317991,-10.094858978777518,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.0,0.0,0.0,-9.634198487418033
2025-11-28,-10.43569718069084,-10.128087047258495,-10.128086562880684,-10.435697435218684,-10.435696950834913,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.0,0.0,0.0,-10.128086792739147
